Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 BSB version 	pnc	endQ	footnotes	End text
513681	0	507017	21898	Aramaic	דִּ֠י	דִּ֠י	dî	Pro-r	Pronoun - relative	1768								 which 				
513682	0	507018	21898	Aramaic	לָֽא־	לָֽא־	lā-	Adv-NegPrt	Adverb - Negative particle	3809								 cannot 				
513683	0	507019	21898	Aramaic	חָזַ֧יִן	חָזַ֧יִן	ḥā·za·yin	V-Qal-Prtcpl-mp	Verb - Qal - Participle - masculine plural	2370								 see 				
513684	0	507020	21898	Aramaic	וְלָא־	וְלָא־	wə·lā-	Conj-w | Adv-NegPrt	Conjunctive waw | Adverb - Negative particle	3809								 or 				
513685	0	507021	21898	Aramaic	שָׁמְעִ֛ין	שָׁמְעִ֛ין	šā·mə·‘în	V-Qal-Prtcpl-mp	Verb - Qal - Participle - masculine plural	8086								 hear 				
513686	0	507022	21898	Aramaic	וְלָ֥א	וְלָ֥א	wə·lā	Conj-w | Adv-NegPrt	Conjunctive waw | Adverb - Negative particle	3809								 or 				
513687	0	507023	21898	Aramaic	יָדְעִ֖ין	יָדְעִ֖ין	yā·ḏə·‘în	V-Qal-Prtcpl-mp	Verb - Qal - Participle - masculine plural	3046								 understand 	.			
513696	0	507024	21898	Aramaic	לָ֥א	לָ֥א	lā	Adv-NegPrt	Adverb - Negative particle	3809								 But you have failed to 				
513697	0	507025	21898	Aramaic	הַדַּֽרְתָּ׃	הַדַּֽרְתָּ׃	had·dar·tā	V-Piel-Perf-2ms	Verb - Piel - Perfect - second person masculine singular	1922								 glorify 				
513689	0	507026	21898	Aramaic	וְלֵֽאלָהָ֞א	וְלֵֽאלָהָ֞א	wə·lê·lā·hā	Conj-w, Prep-l | N-msd	Conjunctive waw, Preposition-l | Noun - masculine singular determinate	426								 the God 				
513690	0	507027	21898	Aramaic	דִּֽי־	דִּֽי־	dî-	Pro-r	Pronoun - relative	1768								 who 				
513695	0	507028	21898	Aramaic	לֵ֖הּ	לֵ֖הּ	lêh	Prep | 3ms	Preposition | third person masculine singular									 holds 				
